cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_10799_-	Success	6.06579311924133	4	0.0163991159831029	0.111415157292349	SAR1A
chr10:clu_10800_-	Success	6.5923016152629	1	0.000282258568832218	0.00949097244433087	SAR1A
chr10:clu_10801_-	Success	0.555083853001634	2	0.574024125532368	0.734869126770938	PPA1
chr10:clu_10802_-	Success	0.163482696420942	1	0.56745146208285	0.731380208042173	PPA1
chr10:clu_10803_-	Success	0.539796511942313	3	0.782002551864923	0.871839321565136	LRRC20
chr10:clu_10804_-	Success	0.495126561134384	1	0.319680517070357	0.548452063881988	PCBD1
chr10:clu_10805_-	Success	5.17085976122416	2	0.00567968354775715	0.0611188484690503	PCBD1
chr10:clu_10806_-	Success	3.08870672139778	1	0.012939129097737	0.0975465447920375	ENSG00000289607
chr10:clu_10807_-	Success	5.78197083247323	2	0.00308263406223515	0.0431257391534917	PSAP
chr10:clu_10808_-	Success	2.52752779488048	1	0.0245541943881503	0.139702414667322	PSAP
chr10:clu_10809_-	Success	0.357792771430013	2	0.699217957931598	0.820402927779518	PSAP
chr10:clu_10810_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PSAP
chr10:clu_10811_-	Success	0.461026730031222	1	0.336936377754099	0.561325535508604	SPOCK2
chr10:clu_10812_-	Success	5.52667398970112	1	0.000885271917345903	0.019904868038105	SPOCK2
chr10:clu_10813_-	Success	0.175206000858793	2	0.839284109712533	0.909857927279773	ASCC1
chr10:clu_10814_-	Success	0.00168442419339954	2	0.998316993652836	1	ASCC1
chr10:clu_10815_-	Success	0.711726219531414	1	0.232835983406665	0.472773572785357	ASCC1
chr10:clu_10816_-	Success	0.476815008374899	2	0.620757353583977	0.768225637649494	DNAJB12
chr10:clu_10817_-	Success	2.00348167148081	1	0.0453126934982732	0.196414828737279	MICU1
chr10:clu_10818_-	Success	0.0437704834718318	1	0.767326897271686	0.863274337075553	PLA2G12B
chr10:clu_10819_-	Success	6.92609167459193	3	0.00311341945781452	0.0433064585990126	PLA2G12B
chr10:clu_10820_-	Success	2.56549833466124e-06	1	0.998192657103685	1	P4HA1
chr10:clu_10821_-	Success	0.443755021975903	1	0.34615295546011	0.569384612009801	P4HA1
chr10:clu_10822_-	Success	0.038829029643864	1	0.780496585807902	0.871162145913839	MRPS16
chr10:clu_10823_-	Success	1.16635083430174	2	0.311501590664137	0.54209440342646	MRPS16
chr10:clu_10824_-	Success	7.65389697482942	4	0.00410361396758638	0.0507455834384566	ANXA7
chr10:clu_10825_-	Success	4.75164492636173	2	0.00863747549999588	0.0770380174539651	PPP3CB
chr10:clu_10826_-	Success	0.166788932005375	1	0.563559868427473	0.729053163713644	PPP3CB
chr10:clu_10827_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	USP54
chr10:clu_10828_-	Not enough valid samples	NA	NA	NA	NA	CAMK2G
chr10:clu_10829_-	Success	0.656779942404796	2	0.518518307991889	0.69723092870754	AP3M1
chr10:clu_10830_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DUSP13
chr10:clu_10831_-	Success	1.97511142345354	1	0.0468651611683775	0.199683456777901	COMTD1
chr10:clu_10832_-	Success	2.45208956446504	2	0.0861134587472761	0.280244753128315	COMTD1
chr10:clu_10833_-	Not enough valid samples	NA	NA	NA	NA	DLG5
chr10:clu_10834_-	Not enough valid samples	NA	NA	NA	NA	NUTM2B-AS1
chr10:clu_10835_-	Success	4.89177784257481	3	0.0204984955686776	0.125922208672922	ANXA11
chr10:clu_10836_-	Success	4.51969294662194	6	0.171375122791689	0.401988448092445	ANXA11
chr10:clu_10837_-	Success	0.911194622695803	2	0.40204364657152	0.612566895547425	MAT1A
chr10:clu_10838_-	Success	0.0588749203071757	2	0.942824690004807	0.969525389223229	WAPL
chr10:clu_10839_-	Not enough valid samples	NA	NA	NA	NA	WAPL
chr10:clu_10840_-	Success	1.67616300701593	2	0.187090465381132	0.419909505005239	GLUD1
chr10:clu_10841_-	Success	0.0477092183573404	2	0.953410981185311	0.975445278872055	GLUD1
chr10:clu_10842_-	Success	3.64410100899119	3	0.0632576041932067	0.235425133456099	NUTM2A-AS1
chr10:clu_10843_-	Success	3.92603066105733	3	0.0491701733149256	0.204243714776437	NUTM2A-AS1
chr10:clu_10844_-	Success	0.998253447252807	1	0.157662185976348	0.385701461781653	ATAD1
chr10:clu_10845_-	Success	0.577030561050435	1	0.282700625428896	0.518254879641092	ACTA2
chr10:clu_10846_-	Success	7.88598027913105	1	7.14536605563725e-05	0.00438445088034197	LIPA
chr10:clu_10847_-	Success	6.0903860639115	2	0.00226453449099013	0.0358227875111236	PANK1
chr10:clu_10848_-	Success	0.503887439629153	1	0.315436499807164	0.545074288366865	ANKRD1
chr10:clu_10849_-	Success	11.2233905658909	5	0.000430484173210308	0.0126409711867501	RBP4
chr10:clu_10850_-	Success	2.06696047444143	2	0.126569910101962	0.342381495100033	RBP4
chr10:clu_10851_-	Success	1.19972018966769	1	0.121378664467368	0.333550525526057	RBP4
chr10:clu_10852_-	Success	0.870398620010292	2	0.418784580057607	0.625788610304948	RBP4
chr10:clu_10853_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PDLIM1
chr10:clu_10854_-	Success	5.13234682410905	1	0.00135600252352663	0.0262928889311815	PDLIM1
chr10:clu_10855_-	Success	1.99575206520785	2	0.135911401484919	0.355644004695355	PDLIM1
chr10:clu_10856_-	Not enough valid samples	NA	NA	NA	NA	SORBS1
chr10:clu_10857_-	Not enough valid samples	NA	NA	NA	NA	SORBS1
chr10:clu_10858_-	Success	0.867495196524601	1	0.187774830937968	0.420766916831518	ALDH18A1
chr10:clu_10859_-	Success	0.123858770636559	1	0.618686831918393	0.767007500936613	ALDH18A1
chr10:clu_10860_-	Success	1.1705129291264	2	0.310207785842653	0.54120289432149	TCTN3
chr10:clu_10861_-	Success	1.76047122685759	2	0.171963810761196	0.402605444416759	EXOSC1
chr10:clu_10862_-	Success	0.792480673611408	2	0.452720349742842	0.647861067650176	EXOSC1
chr10:clu_10863_-	Success	0.0838486572085628	1	0.682166438101595	0.8082125891965	MMS19
chr10:clu_10864_-	Success	2.7974414839573	2	0.0609658453473195	0.231064843878914	MMS19
chr10:clu_10865_-	Not enough valid samples	NA	NA	NA	NA	LOXL4
chr10:clu_10866_-	Success	3.2442537691918	4	0.16551594317627	0.395107427147966	HPS1
chr10:clu_10867_-	Success	1.10119040732627	2	0.33247506727853	0.557242261382191	HPS1
chr10:clu_10868_-	Success	1.21105943224472	2	0.297881526905507	0.53103374950129	HPS1
chr10:clu_10869_-	Success	0.075954249579695	1	0.69671815937341	0.818717608634176	HPS1
chr10:clu_10870_-	Success	0.911615425383047	2	0.40187450111558	0.612566895547425	ERLIN1
chr10:clu_10871_-	Success	0.0125480871512025	1	0.874127650820204	0.929702099681436	CHUK
chr10:clu_10872_-	Success	0.477090161755768	2	0.620586573595862	0.768225637649494	CWF19L1
chr10:clu_10873_-	Success	0.174284778602726	1	0.554923988047568	0.724089914417385	BLOC1S2
chr10:clu_10874_-	Success	0.00162076124058785	1	0.954597475448917	0.976144132947711	BLOC1S2
chr10:clu_10875_-	Success	0.75098514554341	1	0.220368449177586	0.457621343463606	ENSG00000255339,NDUFB8
chr10:clu_10876_-	Success	1.41127872839269	1	0.0929481985031379	0.292956041771106	ENSG00000255339,NDUFB8
chr10:clu_10877_-	Success	2.34486721890084	2	0.0958599296723183	0.297110619620565	ENSG00000255339,NDUFB8
chr10:clu_10878_-	Not enough valid samples	NA	NA	NA	NA	MRPL43
chr10:clu_10879_-	Success	7.53286139916236	3	0.00176133695958963	0.0304931461128954	NPM3
chr10:clu_10880_-	Success	2.7623163459848	2	0.06314533238979	0.235302101175434	NPM3
chr10:clu_10881_-	Success	0.0286639561859943	1	0.810770247080521	0.890900775863726	LDB1
chr10:clu_10882_-	Success	1.36002419490816	1	0.0990950112005593	0.302115136348875	LDB1
chr10:clu_10883_-	Success	1.20116571142717	3	0.493200776637177	0.679476450197622	CUEDC2
chr10:clu_10884_-	Success	0.782585149843953	2	0.457222493521159	0.65226192976569	ACTR1A
chr10:clu_10885_-	Success	0.29079902890058	1	0.44568661415903	0.643931545703742	ACTR1A
chr10:clu_10886_-	Success	4.41776450800444	2	0.0120611648071721	0.0937317574350783	ACTR1A
chr10:clu_10887_-	Success	1.28258814054658	2	0.277318631252045	0.512963482094884	NT5C2
chr10:clu_10888_-	Success	0.052503055691318	2	0.94885142165432	0.973245295486525	NT5C2
chr10:clu_10889_-	Success	3.18674522778187	1	0.0115837532062742	0.0918270542394347	NT5C2
chr10:clu_10890_-	Success	4.43093284853501	3	0.0311849673113322	0.159882738277824	NT5C2
chr10:clu_10891_-	Success	1.89255784884642	1	0.0517103353393868	0.21076986247587	ATP5MK
chr10:clu_10892_-	Success	13.4653469561472	7	0.000342988871787282	0.010967781781226	ATP5MK
chr10:clu_10893_-	Success	0.156171981443393	1	0.576245385328988	0.736155119539261	SH3PXD2A
chr10:clu_10894_-	Success	5.38217435682259	4	0.0293440491119097	0.154119625070626	BBIP1
chr10:clu_10895_-	Success	0.000621435874052167	1	0.971876895219827	0.985599913589349	ABLIM1
chr10:clu_10896_-	Success	4.33917797861625	2	0.0130472489141139	0.0979806957570364	ABLIM1
chr10:clu_10897_-	Success	0.131604248488799	2	0.876687876987496	0.930634946610508	ABLIM1
chr10:clu_10898_-	Success	0.180459616239091	2	0.834886395868763	0.907134541333795	FAM204A
chr10:clu_10899_-	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_10900_-	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EIF3A
chr10:clu_10901_-	Success	0.156712827992123	2	0.854949541144535	0.918721209892552	SFXN4
chr10:clu_10902_-	Success	0.942646669101464	1	0.1697337429627	0.400186925589342	SFXN4
chr10:clu_10903_-	Success	1.05402387964023	2	0.348532470958376	0.570299147792709	PRDX3
chr10:clu_10904_-	Success	0.288770675850657	1	0.447277649427971	0.644811421740399	PRDX3
chr10:clu_10905_-	Success	3.16034778273001	3	0.0970084727347859	0.298950140865782	TIAL1
chr10:clu_10906_-	Success	4.28501435753822	2	0.0137734237674168	0.100670221436228	TIAL1
chr10:clu_10907_-	Success	1.52870011508571	2	0.216817321782893	0.454397737718364	MCMBP
chr10:clu_10908_-	Success	1.83500774811108	1	0.0553996691063434	0.217978811682629	MCMBP
chr10:clu_10909_-	Not enough valid samples	NA	NA	NA	NA	ATE1
chr10:clu_10910_-	Success	2.0308027612308	1	0.0438687713377269	0.193540302358955	ATE1
chr10:clu_10911_-	Success	3.29369719281806	1	0.0102703382923776	0.0856128684435959	ATE1
chr10:clu_10912_-	Success	0.189116448677652	1	0.538550480258453	0.711999850367573	NSMCE4A
chr10:clu_10913_-	Success	5.8234240372289	2	0.00295746133059377	0.0417429576574252	NSMCE4A
chr10:clu_10914_-	Success	0.256415040019476	2	0.773820735561378	0.867203063064825	EEF1AKMT2,ENSG00000258539
chr10:clu_10915_-	Not enough valid samples	NA	NA	NA	NA	EEF1AKMT2,ENSG00000258539
chr10:clu_10916_-	Success	1.59309126118706	1	0.0742632468851453	0.257688682373473	UROS
chr10:clu_10917_-	Success	1.48491600902526	3	0.396299911344572	0.607835412195163	UROS
chr10:clu_10918_-	Not enough valid samples	NA	NA	NA	NA	DHX32
chr10:clu_10919_-	Success	1.49742119276328	2	0.223706312393644	0.461917841672008	MKI67
chr10:clu_10920_-	Not enough valid samples	NA	NA	NA	NA	STK32C
chr10:clu_10921_-	Success	8.52599966450362	14	0.253417396461527	0.490591385522066	FUOM
chr10:clu_10922_-	Success	0.224217646297916	1	0.503078947022343	0.686660621058935	ECHS1
chr10:clu_10923_-	Success	2.9970742161986	2	0.0499329478678897	0.206527273711259	ECHS1
chr10:clu_10924_-	Success	1.88453919469998	1	0.0522083914750843	0.211252235121428	ECHS1
chr10:clu_8498_+	Success	0.979354139152946	2	0.375553575890397	0.59135811568254	ZMYND11
chr10:clu_8499_+	Success	0.987498072881749	2	0.372507512760348	0.58914524244887	ZMYND11
chr10:clu_8500_+	Success	22.5263927710475	14	3.99966180964491e-05	0.0032252003648303	AKR1C1,AKR1C3
chr10:clu_8501_+	Success	5.46775217069444	2	0.00422070893615383	0.0514714127496998	AKR1C1
chr10:clu_8502_+	Success	9.49804554137518	2	7.49982677489639e-05	0.00451357291097744	AKR1C1,AKR1C3,AKR1C4
chr10:clu_8503_+	Success	6.16512850989056	2	0.00210144829034657	0.0343567304804553	AKR1C3
chr10:clu_8504_+	Success	0.00865622012111089	1	0.895319079127181	0.941342421878107	NET1
chr10:clu_8505_+	Success	9.43404815155532	4	0.000834253010177309	0.0191660733025332	FBH1
chr10:clu_8506_+	Not enough valid samples	NA	NA	NA	NA	PRKCQ-AS1
chr10:clu_8507_+	Success	2.40452346214806	3	0.186325692279464	0.41922199736584	ITIH2
chr10:clu_8508_+	Success	5.70259799935593	4	0.0223684725493402	0.132475468152628	ITIH2
chr10:clu_8509_+	Success	0.426549900468672	2	0.652757291868045	0.790072652267253	ITIH2
chr10:clu_8510_+	Success	0.567751676211628	2	0.566798353422309	0.731096068666729	ITIH2
chr10:clu_8511_+	Success	2.87787438900705	3	0.124117507939064	0.338310016184364	ITIH2
chr10:clu_8512_+	Success	0.326563481364246	1	0.41899692238842	0.625912968036323	ITIH2
chr10:clu_8513_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ITIH2
chr10:clu_8514_+	Success	4.05465342910611	3	0.0438058609852956	0.193540302358955	ATP5F1C
chr10:clu_8515_+	Success	1.15300053710507	2	0.315688112954849	0.545172115264919	ATP5F1C
chr10:clu_8516_+	Success	1.13718758760456	2	0.320719750814553	0.549306371213491	PROSER2
chr10:clu_8517_+	Success	2.22340290646434	2	0.10824015030815	0.314845934078913	CDC123
chr10:clu_8518_+	Success	0.538326350999569	3	0.782712992179761	0.872330435588318	OPTN
chr10:clu_8519_+	Success	0.00751550789681232	1	0.902423028323534	0.946941181730557	OPTN
chr10:clu_8520_+	Success	0.95253888031516	2	0.385760379678339	0.599250773461223	OPTN
chr10:clu_8521_+	Success	0.202321554925987	1	0.524701051067089	0.701558085303018	MCM10
chr10:clu_8522_+	Success	0.323401501229739	2	0.723683236320743	0.835549479115113	PRPF18
chr10:clu_8523_+	Success	1.81081435694455	2	0.163520918171016	0.393090826101662	PRPF18,ENSG00000282246
chr10:clu_8524_+	Success	11.1045494012457	3	5.90118434796665e-05	0.00389197158187324	ENSG00000284024,HSPA14
chr10:clu_8525_+	Success	2.44405604527742	3	0.180175874268296	0.412176758147978	SUV39H2
chr10:clu_8526_+	Success	0.704666330923544	1	0.235167206749203	0.474265689211971	SUV39H2
chr10:clu_8527_+	Success	8.84752082988996	4	0.00141545945305888	0.0268611955337877	RPP38
chr10:clu_8528_+	Success	0.686787834747662	1	0.241198483025134	0.479774167609494	MLLT10
chr10:clu_8529_+	Success	2.46557129898881	1	0.0263768716061902	0.145961056062793	MLLT10
chr10:clu_8530_+	Not enough valid samples	NA	NA	NA	NA	KIAA1217
chr10:clu_8531_+	Not enough valid samples	NA	NA	NA	NA	KIAA1217
chr10:clu_8532_+	Not enough valid samples	NA	NA	NA	NA	KIAA1217
chr10:clu_8533_+	Success	0.0309993433218381	1	0.803364374719965	0.885271381326444	PDSS1
chr10:clu_8534_+	Not enough valid samples	NA	NA	NA	NA	MASTL
chr10:clu_8535_+	Success	1.96993699196355	3	0.268030275634448	0.504496510282702	RAB18
chr10:clu_8536_+	Success	0.0614412160319375	1	0.725929045052276	0.837145484927063	WAC
chr10:clu_8537_+	Success	1.4987633322325	1	0.0833917347557758	0.274900669315623	WAC
chr10:clu_8538_+	Success	0.633920802063926	2	0.530507702313358	0.705751822190708	WAC
chr10:clu_8539_+	Success	0.158309804657279	1	0.573646253147065	0.734579371847945	WAC
chr10:clu_8540_+	Success	0.227710565497745	1	0.499771725003088	0.685136718595156	WAC
chr10:clu_8541_+	Success	0.00266714957649583	1	0.941777242113735	0.968998761201256	SVIL-AS1
chr10:clu_8542_+	Success	9.02914923640742	5	0.00287422087337118	0.0409787814225494	SVIL-AS1
chr10:clu_8543_+	Success	4.47278937759233	5	0.111254626257314	0.319346314686161	MAP3K8
chr10:clu_8544_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZEB1
chr10:clu_8545_+	Not enough valid samples	NA	NA	NA	NA	ITGB1-DT
chr10:clu_8546_+	Success	13.0207931802752	6	0.000218705730836504	0.008251621993444	CREM
chr10:clu_8547_+	Not enough valid samples	NA	NA	NA	NA	CREM
chr10:clu_8548_+	Success	2.18905844882056	5	0.496354663471773	0.68217118335326	CCNY
chr10:clu_8549_+	Success	0.913052020999658	1	0.176588410571646	0.407760109212141	BMS1
chr10:clu_8550_+	Not enough valid samples	NA	NA	NA	NA	RASSF4
chr10:clu_8551_+	Success	0.953171379779405	2	0.385516463591395	0.59921127597118	RASSF4
chr10:clu_8552_+	Success	0.780019153140756	2	0.458397231474446	0.653360946654625	WASHC2C
chr10:clu_8553_+	Success	1.0884321935373	2	0.33674402952741	0.561325535508604	TIMM23
chr10:clu_8554_+	Success	8.83641974771263	5	0.00338565047478927	0.0452251910359483	TIMM23
chr10:clu_8555_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SHLD2P3
chr10:clu_8556_+	Not enough valid samples	NA	NA	NA	NA	MAPK8
chr10:clu_8557_+	Not enough valid samples	NA	NA	NA	NA	MAPK8
chr10:clu_8558_+	Success	1.27442267272215	2	0.279592337918719	0.514871581410523	TIMM23B,TIMM23B-AGAP6
chr10:clu_8559_+	Success	0.420928306468511	2	0.656437162020526	0.792745177602018	WASHC2A
chr10:clu_8560_+	Not enough valid samples	NA	NA	NA	NA	ASAH2B
chr10:clu_8561_+	Success	1.06370046067855	2	0.345176133384448	0.568833101950038	TFAM
chr10:clu_8562_+	Success	0.233566544843541	1	0.494309046335239	0.680534820252789	CDK1
chr10:clu_8563_+	Success	0.156236420245477	1	0.576166701126436	0.736155119539261	HNRNPH3
chr10:clu_8564_+	Success	0.829346562607043	2	0.436334310342925	0.637087520899798	HNRNPH3
chr10:clu_8565_+	Success	0.741025073307355	2	0.476625089365792	0.667564322652608	HNRNPH3
chr10:clu_8566_+	Not enough valid samples	NA	NA	NA	NA	CCAR1
chr10:clu_8567_+	Success	0.665477363568414	2	0.514028090846274	0.694657478321801	DDX50
chr10:clu_8568_+	Success	0.522172593976848	2	0.593230298310398	0.749285735576977	DDX21
chr10:clu_8569_+	Success	0.18811789236679	2	0.828517025641758	0.90374353775842	VPS26A
chr10:clu_8570_+	Success	2.76606009968378	1	0.0186704678621003	0.12041074727556	HKDC1
chr10:clu_8571_+	Success	2.91274955339861	1	0.015795486064096	0.109693754665438	HKDC1
chr10:clu_8572_+	Success	0.915781109579882	1	0.175943135351164	0.407217892606089	MACROH2A2
chr10:clu_8573_+	Success	1.68505586325091	2	0.185434072716492	0.417797660931069	MACROH2A2
chr10:clu_8574_+	Success	2.63650838206178	2	0.0716108713487285	0.252644613437381	SGPL1
chr10:clu_8575_+	Success	0.807938333390609	2	0.445776161321801	0.643931545703742	SLC29A3
chr10:clu_8576_+	Success	1.51844110797035	1	0.0813921029305404	0.27191469259531	CHST3
chr10:clu_8577_+	Success	10.8278939434676	8	0.00559505801223762	0.0608844554413241	ANAPC16
chr10:clu_8578_+	Not enough valid samples	NA	NA	NA	NA	FAM149B1
chr10:clu_8579_+	Success	0.983985850669796	2	0.373818142184377	0.590220097570862	SEC24C
chr10:clu_8580_+	Not enough valid samples	NA	NA	NA	NA	ZSWIM8
chr10:clu_8581_+	Not enough valid samples	NA	NA	NA	NA	ZSWIM8
chr10:clu_8582_+	Success	0.0343237621268599	1	0.793316257005499	0.879094880748464	ADK
chr10:clu_8583_+	Success	0.541802202613781	2	0.581698967746135	0.740392738912798	ADK
chr10:clu_8584_+	Success	1.22069694893526	2	0.295024478259095	0.528601426117525	ADK
chr10:clu_8585_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KAT6B
chr10:clu_8586_+	Success	1.31620212563553	2	0.268151777282015	0.504508340917743	VDAC2
chr10:clu_8587_+	Success	4.91021304511196	3	0.0201559055734322	0.124545254642719	VDAC2
chr10:clu_8588_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VDAC2
chr10:clu_8589_+	Success	1.60309887198736	1	0.073359776804555	0.255376314585336	VDAC2
chr10:clu_8590_+	Success	1.92929183554548	2	0.145251023682705	0.369997024331011	ZNF503-AS2
chr10:clu_8591_+	Success	1.40037541396305	3	0.423376332324411	0.630124891293394	RPS24
chr10:clu_8592_+	Success	2.61391193441159	3	0.155854952987708	0.383311458451505	RPS24
chr10:clu_8593_+	Not enough valid samples	NA	NA	NA	NA	ZMIZ1
chr10:clu_8594_+	Success	0.440493626835178	1	0.347931421148249	0.570299147792709	PPIF
chr10:clu_8595_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPIF
chr10:clu_8596_+	Success	1.96785612072199	4	0.414776161792678	0.622691424561555	PPIF
chr10:clu_8597_+	Success	0.599192678567192	1	0.273644632341547	0.509373343144397	TMEM254
chr10:clu_8598_+	Success	2.17896884363063	4	0.359726246773132	0.578174065395476	PRXL2A
chr10:clu_8599_+	Success	4.04160962771812	6	0.23206965003545	0.471891140832744	TSPAN14
chr10:clu_8600_+	Success	1.22647440804394	2	0.293324900747199	0.527252606026216	GHITM
chr10:clu_8601_+	Not enough valid samples	NA	NA	NA	NA	BMPR1A
chr10:clu_8602_+	Success	0.134558067295757	2	0.874102120656528	0.929702099681436	SHLD2
chr10:clu_8603_+	Success	0.822223230897407	2	0.43945356091033	0.639258057768864	RPP30
chr10:clu_8604_+	Success	1.9602808074726	4	0.416863405227256	0.624266674928039	PCGF5
