# {
#     "changing_threshold": 0.2,
#     "command": "/home/wanglab/anaconda3/envs/voila/bin/voila tsv majiq_splicing/build_simplified/splicegraph.sql majiq_splicing/deltapsi_simplified/ctrl_trt.deltapsi.voila --changing-between-group-dpsi 0.1 --probability-threshold 0.95 -f majiq_splicing/voilaOutput_simplified/3vs3_filtedtbl.tsv",
#     "group_sizes": {
#         "ctrl": 3,
#         "trt": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev3+g85d07819"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	ctrl_mean_psi	trt_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
LGR5	ENSG00000139292.13	ENSG00000139292.13:s:71439798-71440292	0.4321;-0.4321	9.980e-01;9.980e-01	3.990e-08;3.985e-08	0.1781;0.8219	0.6071;0.3929	s|1e1.1o1|1e2.1o1	2	3	1;0	chr12	+	71440292-71447606;71440292-71504614	71439798-71440292;71447606-na;71504614-71504685		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A71504685-71439798
CUL4A	ENSG00000139842.15	ENSG00000139842.15:s:113229446-113229519	0.3567;-0.3567	9.946e-01;9.946e-01	2.241e-09;2.233e-09	0.5184;0.4816	0.8778;0.1222	s|1e1.1o1|1e2.2o2	2	3	0;0	chr13	+	113229519-113229642;113229519-113233177	113229446-113229519;113229642-113230212;113233153-113233339		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A113233339-113229446
ACSS1	ENSG00000154930.15	ENSG00000154930.15:s:25048085-25048181	0.3397;0.0802;-0.4573	9.949e-01;2.206e-06;1.000e+00	1.685e-10;4.472e-05;1.377e-14	0.1783;0.0017;0.8202	0.5165;0.1104;0.3769	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;1;0	chr20	-	25046872-25048085;25046859-25048085;25030958-25048085	25030759-25030958;25045938-25046872;25048085-25048181		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A25048181-25030759
BROX	ENSG00000162819.12	ENSG00000162819.12:s:222712553-222712942	0.3355;-0.3355	9.540e-01;9.540e-01	4.862e-07;4.863e-07	0.6212;0.3788	0.9730;0.0270	s|1e1.1o1|1e2.1o1	2	3	0;0	chr1	+	222712942-222713588;222712942-222715684	222712553-222712942;222713588-222713985;222715684-222715800		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A222715800-222712553
ITGA2	ENSG00000164171.11	ENSG00000164171.11:s:52989340-52989532	0.3587;0.2661;-0.6629	9.978e-01;8.127e-01;1.000e+00	1.160e-09;2.459e-06;2.817e-11	0.0178;0.0993;0.8828	0.3784;0.3759;0.2336	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chr5	+	52989532-53001515;52989532-53003830;52989532-53026748	52989340-52989532;53001515-na;53003830-na;53026748-53026868		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A53026868-52989340
SPINT1	ENSG00000166145.15	ENSG00000166145.15:s:40853816-40853929	0.3898;0.0004;-0.4067	9.881e-01;4.956e-10;9.928e-01	3.842e-07;1.938e-02;2.803e-07	0.1818;0.0049;0.8133	0.5735;0.0194;0.4067	s|1e1.1o1|1e2.3o3|2e3.1o1	3	4	0;0;0	chr15	+	40853881-40854060;40853881-40854397;40853929-40854060	40853816-40853929;40854060-40854086;40854210-40854522		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A40854522-40853816
CNOT10	ENSG00000182973.20	ENSG00000182973.20:s:32685145-32685482	0.4280;-0.4280	9.999e-01;9.999e-01	1.088e-10;1.183e-10	0.1551;0.8449	0.5787;0.4213	s|1e1.1o1|1e2.3o3	2	3	1;0	chr3	+	32685482-32685774;32685482-32703868	32685145-32685482;32685774-na;32703791-32703962		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A32703962-32685145
ENSG00000268643	ENSG00000268643.2	ENSG00000268643.2:s:42254978-42255132	-0.2771;0.2771	9.612e-01;9.612e-01	1.361e-10;1.349e-10	0.9866;0.0134	0.6965;0.3035	s|1e1.1o1|1e2.1o1	2	3	1;0	chr19	-	42249942-42254978;42240142-42254978	na-42249942;42239955-42240142;42254978-42255132		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A42255132-42239955
USP48	ENSG00000090686.16	ENSG00000090686.16:s:21782824-21782943	0.2997;-0.2997	9.650e-01;9.650e-01	9.546e-10;9.513e-10	0.0914;0.9086	0.3912;0.6088	s|1e1.1o1|1e2.1o1	2	3	1;0	chr1	-	21777110-21782824;21757783-21782824	na-21777110;21757461-21757783;21782824-21782943		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A21782943-21757461
ASCC3	ENSG00000112249.14	ENSG00000112249.14:s:100864064-100864214	0.4134;-0.4134	9.964e-01;9.964e-01	6.418e-08;6.418e-08	0.3142;0.6858	0.7239;0.2761	s|1e1.1o1|1e2.1o1	2	3	0;0	chr6	-	100859202-100864064;100848707-100864064	100848004-100848707;100856303-100859202;100864064-100864214		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A100864214-100848004
CNOT1	ENSG00000125107.19	ENSG00000125107.19:s:58629728-58629885	0.0033;0.3799;0.0230;-0.4465	5.930e-21;9.999e-01;1.184e-11;1.000e+00	4.747e-01;8.596e-18;7.776e-03;0.000e+00	0.0050;0.1920;0.0864;0.7179	0.0424;0.5685;0.1135;0.2781	s|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1	4	5	1;0;0;0	chr16	-	58625656-58629728;58624794-58629728;58623409-58629728;58599511-58629728	58599010-58599511;58623226-58623409;58624653-58624794;58625559-58625656;58629728-58629885		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A58629885-58599010
SPIRE1	ENSG00000134278.16	ENSG00000134278.16:s:12463351-12463493	-0.4154;0.4154	9.909e-01;9.909e-01	4.473e-07;4.473e-07	0.6184;0.3816	0.2008;0.7992	s|1e1.1o1|1e2.2o2	2	3	0;0	chr18	-	12459928-12463351;12454483-12463351	12454346-12454506;12459755-12459928;12463351-12463493		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr18%3A12463493-12454346
NCAPD3	ENSG00000151503.14	ENSG00000151503.14:s:134223863-134224216	0.5395;-0.5395	1.000e+00;1.000e+00	1.539e-12;6.461e-13	0.2007;0.7993	0.7271;0.2729	s|1e1.1o1|1e2.1o1	2	3	0;0	chr11	-	134223482-134223863;134220726-134223863	134220572-134220726;134221426-134223482;134223863-134224216		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A134224216-134220572
HNRNPDL	ENSG00000152795.18	ENSG00000152795.18:t:82422565-82424883	-0.2991;0.2991	9.857e-01;9.857e-01	0.000e+00;3.975e-22	0.9671;0.0329	0.6867;0.3133	t|1e1.1o1|1e2.2o2	2	3	0;0	chr4	-	82424883-82426037;82424883-82425563	82422565-82424883;82425563-82425667;82426037-82426129		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A82426129-82422565
ENAH	ENSG00000154380.18	ENSG00000154380.18:t:225500992-225501256	0.3137;-0.3137	9.599e-01;9.599e-01	4.653e-08;4.653e-08	0.3258;0.6742	0.6435;0.3565	t|1e1.1o1|1e2.1o1	2	3	0;0	chr1	-	225501070-225507951;225501070-225504991	225500992-225501256;225504991-225505053;225507951-225508017		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A225508017-225500992
LRP5	ENSG00000162337.12	ENSG00000162337.12:s:68365571-68365702	0.3760;-0.3760	1.000e+00;1.000e+00	1.317e-20;0.000e+00	0.2426;0.7574	0.6132;0.3868	s|1e1.1o1|1e2.1o1	2	3	1;0	chr11	+	68365702-68375231;68365702-68386316	68365571-68365702;68375231-na;68386316-68386712		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A68386712-68365571
BRD2	ENSG00000204256.14	ENSG00000204256.14:s:32974462-32974765	-0.5615;0.5615	1.000e+00;1.000e+00	0.000e+00;1.358e-16	0.6170;0.3830	0.0627;0.9373	s|1e1.1o1|1e2.1o1	2	3	0;0	chr6	+	32974765-32975021;32974765-32975384	32974462-32974765;32975021-32975112;32975384-32975521		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A32975521-32974462
ITSN1	ENSG00000205726.15	ENSG00000205726.15:s:33813913-33814507	0.4971;-0.4971	9.994e-01;9.994e-01	1.510e-07;1.510e-07	0.2858;0.7142	0.7782;0.2218	s|1e1.1o1|1e2.2o4	2	3	0;0	chr21	+	33814072-33817231;33814072-33818267	33813913-33814507;33817231-33817736;33818026-33818472		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr21%3A33818472-33813913
TUG1	ENSG00000253352.10	ENSG00000253352.10:t:30972263-30974103	0.0011;-0.0087;-0.3494;0.0647;0.2021;0.0225	1.040e-09;1.253e-07;9.721e-01;2.370e-03;5.157e-01;6.186e-06	8.859e-03;2.680e-03;2.787e-07;7.977e-05;4.163e-06;8.142e-04	0.0016;0.0481;0.8255;0.0295;0.0847;0.0109	0.0226;0.0226;0.4684;0.1167;0.3052;0.0645	t|1e1.1o1|1e2.2o4|1e2.4o4|1e3.1o1|2e4.4o4|2e5.1o1	6	6	0;0;0;0;0;0	chr22	+	30969386-30972855;30971610-30972855;30971779-30972855;30972172-30972855;30971779-30972924;30972172-30972924	30969245-30969386;30969853-30971779;30972048-30972172;30972263-30974103		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A30974103-30969245
JADE1	ENSG00000077684.16	ENSG00000077684.16:t:128831733-128831811	0.3350;0.0066;-0.1151;-0.2123;0.0030;0.0000;-0.0033	9.520e-01;1.071e-08;3.444e-02;5.673e-01;9.096e-10;5.355e-21;2.438e-08	7.377e-07;5.017e-03;1.599e-05;1.070e-05;9.415e-03;5.327e-02;4.430e-03	0.2225;0.0015;0.1499;0.5768;0.0122;0.0015;0.0334	0.5686;0.0422;0.0094;0.3344;0.0340;0.0094;0.0012	t|1e1.1o1|1e2.1o3|1e2.2o3|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1	7	6	0;0;0;0;0;0;0	chr4	+	128809877-128831733;128810088-128831733;128810291-128831733;128811396-128831733;128811403-128831733;128811974-128831733;128816463-128831733	128809700-128809877;128809919-128810386;128811270-128811403;128811844-128811974;128816367-128816463;128831733-128831811		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A128831811-128809700
SUPT16H	ENSG00000092201.10	ENSG00000092201.10:s:21383862-21384019	0.3993;-0.3993	1.000e+00;1.000e+00	3.897e-20;0.000e+00	0.1053;0.8947	0.4955;0.5045	s|1e1.1o1|1e2.1o1	2	3	0;0	chr14	-	21383769-21383862;21373430-21383862	21373338-21373430;21382975-21383769;21383862-21384019		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A21384019-21373338
RIPK2	ENSG00000104312.8	ENSG00000104312.8:s:89757806-89758233	-0.0000;-0.3432;0.3335	5.352e-21;9.693e-01;9.592e-01	3.306e-02;2.146e-07;3.093e-07	0.0037;0.5638;0.4325	0.0118;0.2075;0.7807	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr8	+	89758233-89759322;89758233-89762829;89758233-89765341	89757806-89758233;89759322-89759446;89762829-89762982;89765341-89765496		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A89765496-89757806
RAPGEF1	ENSG00000107263.19	ENSG00000107263.19:s:131621796-131621998	0.3851;-0.0009;0.0001;-0.4051	9.996e-01;9.388e-10;5.374e-21;9.994e-01	5.185e-13;1.023e-02;2.529e-02;3.596e-10	0.0025;0.0228;0.0025;0.9721	0.4000;0.0120;0.0120;0.5763	s|1e1.1o1|1e2.2o2|1e3.1o1|1e4.1o1	4	5	1;0;0;0	chr9	-	131621454-131621796;131619206-131621796;131604053-131621796;131602149-131621796	na-131621454;131602061-131602149;131603961-131604053;131619051-131619209;131621796-131621998		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A131621998-131602061
ABCC5	ENSG00000114770.17	ENSG00000114770.17:s:184014264-184014447	0.0000;0.2896;-0.3004	5.357e-21;9.590e-01;9.694e-01	3.308e-02;1.297e-08;1.225e-08	0.0040;0.0278;0.9683	0.0130;0.3221;0.6649	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr3	-	184009977-184014264;184001251-184014264;183989383-184014264	183989226-183989383;184000663-184001251;184009889-184009977;184014264-184014447		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A184014447-183989226
SH3BP4	ENSG00000130147.16	ENSG00000130147.16:s:234995303-234995376	0.4338;-0.4338	9.999e-01;9.999e-01	4.544e-11;4.975e-11	0.3138;0.6862	0.7378;0.2622	s|1e1.1o1|1e2.1o2	2	3	0;0	chr2	+	234995376-234995692;234995376-235034871	234995303-234995376;234995692-234995993;235034871-235035120		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A235035120-234995303
GIPC2	ENSG00000137960.6	ENSG00000137960.6:s:78045966-78046334	0.3793;-0.3793	9.955e-01;9.955e-01	4.312e-09;4.285e-09	0.3101;0.6899	0.6859;0.3141	s|1e1.1o1|1e2.1o1	2	3	1;0	chr1	+	78046334-78049918;78046334-78080675	78045966-78046334;78049918-na;78080675-78080860		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A78080860-78045966
C1orf52	ENSG00000162642.14	ENSG00000162642.14:s:85259358-85259672	0.3273;-0.3273	9.766e-01;9.766e-01	2.380e-08;2.381e-08	0.2929;0.7071	0.6248;0.3752	s|1e1.1o1|1e2.1o1	2	3	0;0	chr1	-	85259061-85259358;85258722-85259358	85258524-85258722;85258935-85259061;85259358-85259672		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A85259672-85258524
ASPH	ENSG00000198363.18	ENSG00000198363.18:s:61680524-61681036	0.0000;0.0000;0.3450;-0.3503	5.345e-21;5.345e-21;9.998e-01;9.999e-01	1.000e+00;1.000e+00;2.773e-21;0.000e+00	0.0057;0.0003;0.0918;0.9019	0.0117;0.0019;0.4275;0.5574	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr8	-	61676319-61680968;61668275-61680968;61661926-61680968;61653660-61680968	61653568-61653660;61656128-61661926;61668234-61668275;61675259-61676319;61680524-61681036		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A61681036-61653568
LINC00339	ENSG00000218510.9	ENSG00000218510.9:t:22030280-22031223	0.3063;-0.2334;0.0003;0.0368;-0.1261	9.671e-01;6.651e-01;5.391e-21;3.315e-03;4.644e-02	8.953e-10;5.496e-06;1.263e-02;1.355e-04;1.329e-05	0.0206;0.6935;0.0059;0.1095;0.1680	0.3370;0.4389;0.0130;0.1773;0.0347	t|1e1.1o1|1e2.2o5|1e2.3o5|1e3.1o1|2e4.1o5	5	5	0;0;0;0;1	chr1	+	22025372-22030280;22025643-22030280;22025945-22030280;22027534-22030280;22025639-22030283	22025188-22025372;22025493-22026649;22027414-22027534;22030280-22031223		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A22031223-22025188
ENSG00000257261	ENSG00000257261.7	ENSG00000257261.7:t:46387747-46387972	-0.0044;-0.3132;0.3317	6.846e-05;9.244e-01;9.771e-01	4.402e-04;8.230e-07;1.633e-08	0.1277;0.8402;0.0320	0.1173;0.5104;0.3720	t|1e1.1o2|1e1.2o2|1e2.1o2	3	3	0;0;0	chr12	+	46383695-46387747;46383713-46387747;46384161-46387747	46383652-46383713;46384107-46384989;46387747-46387972		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A46387972-46383652
ENSG00000289607	ENSG00000289607.1	ENSG00000289607.1:s:71347902-71348071	0.3577;-0.3577	9.732e-01;9.732e-01	5.032e-07;5.033e-07	0.0714;0.9286	0.4344;0.5656	s|1e1.1o1|1e2.1o1	2	3	1;0	chr10	-	71347434-71347902;71341381-71347902	na-71347434;71341308-71341381;71347902-71348071		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A71348071-71341308
SEMA3F	ENSG00000001617.12	ENSG00000001617.12:s:50174213-50174350	0.3100;-0.3100	9.581e-01;9.581e-01	5.053e-08;5.053e-08	0.4347;0.5653	0.7495;0.2505	s|1e1.1o1|1e2.1o1	2	3	0;0	chr3	+	50174350-50175096;50174350-50176768	50174213-50174350;50175096-50175188;50176768-50176861		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A50176861-50174213
FAM107B	ENSG00000065809.14	ENSG00000065809.14:t:14530332-14530515	0.2857;0.0000;-0.0000;-0.0065;-0.2917	9.181e-01;5.348e-21;5.345e-21;2.922e-05;9.791e-01	8.011e-08;4.622e-01;4.899e-01;5.471e-04;2.257e-12	0.4679;0.0011;0.0011;0.2092;0.3190	0.7630;0.0158;0.0045;0.1969;0.0200	t|1e1.1o1|1e2.1o1|1e3.2o3|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr10	-	14530515-14604240;14530515-14572229;14530515-14571924;14530515-14553322;14530515-14532587	14530332-14530515;14532587-14532710;14553322-14553454;14571763-14572189;14572229-14572339;14604240-14604418		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A14604418-14530332
PITPNM2	ENSG00000090975.14	ENSG00000090975.14:s:123000778-123000848	0.4822;-0.4822	9.989e-01;9.989e-01	1.710e-07;1.708e-07	0.2817;0.7183	0.7579;0.2421	s|1e1.1o1|1e2.1o1	2	3	0;0	chr12	-	123000478-123000778;122997572-123000778	122997325-122997572;123000303-123000478;123000778-123000848		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A123000848-122997325
OSBPL9	ENSG00000117859.19	ENSG00000117859.19:t:51745090-51745631	0.4299;0.0000;-0.2075;-0.2044	1.000e+00;5.345e-21;5.626e-01;5.350e-01	4.651e-16;5.292e-01;4.829e-07;1.082e-06	0.1699;0.0007;0.4057;0.4209	0.5948;0.0045;0.1913;0.2094	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr1	+	51714079-51745536;51729378-51745536;51730001-51745536;51730124-51745536	51714003-51714079;51729303-51729378;51729808-51730001;51730034-51730124;51745090-51745631		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A51745631-51714003
TRIM4	ENSG00000146833.16	ENSG00000146833.16:s:99903218-99903315	0.4281;-0.4281	9.920e-01;9.920e-01	3.990e-07;3.990e-07	0.1429;0.8571	0.5728;0.4272	s|1e1.1o1|1e2.1o1	2	3	0;0	chr7	-	99902174-99903218;99892746-99903218	99890403-99892746;99901166-99902174;99903218-99903315		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A99903315-99890403
GIGYF2	ENSG00000204120.16	ENSG00000204120.16:s:232735155-232735588	0.3073;0.3788;-0.7177	9.764e-01;9.934e-01;1.000e+00	7.498e-09;5.802e-08;9.484e-13	0.0176;0.0830;0.8995	0.3386;0.4588;0.1990	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr2	+	232735238-232735753;232735238-232735763;232735238-232747615	232735155-232735588;232735753-232738681;232747615-232747744		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A232747744-232735155
CUX1	ENSG00000257923.12	ENSG00000257923.12:s:102195507-102195603	0.3402;-0.0990;-0.1946	9.726e-01;2.681e-02;4.854e-01	1.583e-07;3.264e-05;1.295e-05	0.0832;0.1448;0.7742	0.4338;0.0219;0.5451	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr7	+	102195603-102196634;102195603-102196940;102195603-102273366	102195507-102195603;102196634-102197305;102273366-102273493		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A102273493-102195507
SNX5	ENSG00000089006.17	ENSG00000089006.17:s:17968375-17968511	0.0730;0.0000;0.0000;-0.3328;0.2582	3.889e-20;5.544e-21;5.544e-21;9.945e-01;8.926e-01	2.720e-01;1.000e+00;1.000e+00;1.665e-14;1.366e-16	0.0795;0.0147;0.0232;0.7152;0.1692	0.1518;0.0124;0.0230;0.3898;0.4290	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o2|i	5	3	0;1;0;0;0	chr20	-	17968289-17968375;17968166-17968375;17968161-17968375;17957037-17968375;17968290-17968374	17956933-17957037;17967688-17968289;17968375-17968511	17968290-17968374	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A17968511-17956933
MRPL18	ENSG00000112110.10	ENSG00000112110.10:t:159790940-159791126	0.0000;0.4413;-0.5156;0.0587	5.345e-21;1.000e+00;1.000e+00;1.664e-20	1.000e+00;1.921e-19;2.220e-16;3.207e-04	0.0034;0.2374;0.7372;0.0225	0.0063;0.6670;0.2386;0.0906	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;1;0;0	chr6	+	159789888-159790940;159790060-159790940;159790639-159790940;159790787-159790940	159789812-159790060;159790467-159790639;159790668-159790787;159790940-159791126		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A159791126-159789812
