# {
#     "changing_threshold": 0.2,
#     "command": "/home/wanglab/anaconda3/envs/voila/bin/voila tsv majiq_splicing/build_simplified/splicegraph.sql majiq_splicing/deltapsi_simplified/ctrl_trt.deltapsi.voila --changing-between-group-dpsi 0.1 -f majiq_splicing/voilaOutput_simplified/3vs3_filtedtbl_noProbThreshold.tsv",
#     "group_sizes": {
#         "ctrl": 3,
#         "trt": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev3+g85d07819"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	ctrl_mean_psi	trt_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
TPM1	ENSG00000140416.23	ENSG00000140416.23:s:63060869-63061098	-0.2378;0.2378	7.875e-01;7.875e-01	7.729e-12;7.720e-12	0.4112;0.5888	0.1826;0.8174	s|1e1.1o2|1e2.1o1	2	3	0;0	chr15	+	63060939-63061198;63060939-63061713	63060869-63061098;63061198-63061273;63061713-63061788		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A63061788-63060869
TPM1	ENSG00000140416.23	ENSG00000140416.23:s:63062576-63062892	0.2206;0.0020;0.0000;-0.2324	6.188e-01;5.695e-21;5.345e-21;6.931e-01	2.712e-06;3.050e-01;1.000e+00;2.168e-06	0.2464;0.0274;0.0026;0.7261	0.4636;0.0358;0.0056;0.4982	s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr15	+	63062645-63064064;63062645-63065896;63062645-63069870;63062645-63071090	63062576-63062892;63063804-63065278;63065896-63066178;63069870-63071021;63071090-63071915		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A63071915-63062576
KIFC3	ENSG00000140859.16	ENSG00000140859.16:s:57794997-57795141	0.3788;-0.1779;-0.0000;-0.1646	9.997e-01;3.148e-01;5.350e-21;2.773e-01	2.401e-13;8.054e-07;4.751e-01;7.729e-06	0.1165;0.2560;0.0219;0.6049	0.4939;0.0720;0.0063;0.4262	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr16	-	57791066-57794999;57788713-57794999;57785666-57794999;57772288-57794999	57772223-57772288;57785398-57785666;57788575-57788713;57790930-57791066;57794997-57795141		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A57795141-57772223
BRD4	ENSG00000141867.19	ENSG00000141867.19:s:15254152-15254262	-0.0000;0.2155;-0.2166	5.346e-21;6.064e-01;6.134e-01	3.456e-01;1.362e-06;1.245e-06	0.0075;0.5993;0.3930	0.0084;0.8282;0.1634	s|1e1.1o1|1e2.1o1|1e3.2o2	3	4	0;0;0	chr19	-	15253783-15254152;15249290-15254152;15244762-15254152	15244710-15244998;15247047-15249290;15252992-15253783;15254152-15254262		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A15254262-15244710
TUBG2	ENSG00000037042.9	ENSG00000037042.9:s:42660639-42661391	-0.2371;0.2371	6.943e-01;6.943e-01	2.724e-06;2.724e-06	0.9335;0.0665	0.6779;0.3221	s|1e1.1o1|1e2.1o1	2	3	0;0	chr17	+	42660707-42662973;42660707-42663377	42660639-42661391;42662973-42663052;42663377-42663503		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A42663503-42660639
STAU2	ENSG00000040341.18	ENSG00000040341.18:s:73738284-73738349	-0.0000;0.2222;-0.0000;-0.2064	5.360e-21;6.183e-01;5.360e-21;5.359e-01	2.315e-02;4.340e-06;2.315e-02;7.011e-06	0.0096;0.1104;0.0096;0.8703	0.0032;0.3587;0.0032;0.6352	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	chr8	-	73709177-73738284;73709162-73738284;73697442-73738284;73688813-73738284	73688651-73688813;73697308-73697442;73709032-73709177;73738284-73738349		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A73738349-73688651
LETMD1	ENSG00000050426.16	ENSG00000050426.16:t:51053778-51053860	0.0967;-0.2018;-0.0004;0.0703	8.532e-02;5.197e-01;5.427e-21;3.440e-02	4.113e-05;1.115e-05;2.930e-02;6.149e-05	0.1917;0.6180;0.0186;0.1703	0.3306;0.3846;0.0027;0.2794	t|1e1.1o2|1e2.2o4|1e2.3o4|2e3.1o2	4	4	0;0;0;0	chr12	+	51049185-51053778;51052207-51053778;51052246-51053778;51049185-51053812	51048874-51049430;51052088-51052361;51053778-51053860		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A51053860-51048874
FNDC3B	ENSG00000075420.13	ENSG00000075420.13:s:172133471-172133546	0.2450;-0.2450	7.418e-01;7.418e-01	2.409e-06;2.409e-06	0.4854;0.5146	0.7463;0.2537	s|1e1.1o1|1e2.1o1	2	3	0;0	chr3	+	172133546-172186712;172133546-172226871	172133471-172133546;172186712-172187298;172226871-172227263		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A172227263-172133471
JADE1	ENSG00000077684.16	ENSG00000077684.16:t:128831733-128831811	0.3350;0.0066;-0.1151;-0.2123;0.0030;0.0000;-0.0033	9.520e-01;1.071e-08;3.444e-02;5.673e-01;9.096e-10;5.355e-21;2.438e-08	7.377e-07;5.017e-03;1.599e-05;1.070e-05;9.415e-03;5.327e-02;4.430e-03	0.2225;0.0015;0.1499;0.5768;0.0122;0.0015;0.0334	0.5686;0.0422;0.0094;0.3344;0.0340;0.0094;0.0012	t|1e1.1o1|1e2.1o3|1e2.2o3|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1	7	6	0;0;0;0;0;0;0	chr4	+	128809877-128831733;128810088-128831733;128810291-128831733;128811396-128831733;128811403-128831733;128811974-128831733;128816463-128831733	128809700-128809877;128809919-128810386;128811270-128811403;128811844-128811974;128816367-128816463;128831733-128831811		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A128831811-128809700
ACIN1	ENSG00000100813.15	ENSG00000100813.15:s:23069033-23069617	0.0189;0.2971;-0.0448;-0.2615	4.969e-05;9.320e-01;5.570e-09;8.047e-01	4.325e-04;5.438e-08;1.207e-03;1.775e-06	0.0857;0.0933;0.0758;0.7466	0.1228;0.4012;0.0116;0.4661	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.3o3	4	4	0;0;0;0	chr14	-	23068701-23069476;23068671-23069476;23068464-23069476;23066008-23069476	23065966-23066496;23067314-23068464;23068481-23068701;23069033-23069617		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A23069617-23065966
RIPK2	ENSG00000104312.8	ENSG00000104312.8:s:89757806-89758233	-0.0000;-0.3432;0.3335	5.352e-21;9.693e-01;9.592e-01	3.306e-02;2.146e-07;3.093e-07	0.0037;0.5638;0.4325	0.0118;0.2075;0.7807	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr8	+	89758233-89759322;89758233-89762829;89758233-89765341	89757806-89758233;89759322-89759446;89762829-89762982;89765341-89765496		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A89765496-89757806
RIPK2	ENSG00000104312.8	ENSG00000104312.8:t:89765341-89765496	0.3000;-0.3000	9.056e-01;9.056e-01	7.932e-07;7.932e-07	0.4489;0.5511	0.7645;0.2355	t|1e1.1o1|1e2.2o2	2	3	0;0	chr8	+	89758233-89765341;89762982-89765341	89757806-89758233;89762829-89762982;89765341-89765496		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A89765496-89757806
PRRC2C	ENSG00000117523.18	ENSG00000117523.18:t:171591587-171593511	-0.3768;0.0099;0.3518	9.742e-01;3.098e-05;9.517e-01	1.011e-06;6.514e-04;1.583e-06	0.6689;0.0504;0.2809	0.2838;0.0713;0.6456	t|1e1.1o1|1e2.1o1|1e3.2o3	3	4	0;0;0	chr1	+	171588505-171591587;171589605-171591587;171591204-171591587	171588379-171588505;171589369-171589605;171591152-171591313;171591587-171593511		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A171593511-171588379
DENND1A	ENSG00000119522.17	ENSG00000119522.17:s:123583169-123583270	0.2059;-0.2059	5.394e-01;5.394e-01	1.987e-06;1.987e-06	0.0287;0.9713	0.2519;0.7481	s|1e1.1o1|1e2.1o1	2	3	0;0	chr9	-	123569595-123583169;123557695-123583169	123557570-123557695;123569545-123569595;123583169-123583270		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr9%3A123583270-123557570
SSUH2	ENSG00000125046.16	ENSG00000125046.16:s:8651990-8652074	0.2279;-0.2279	7.021e-01;7.021e-01	9.830e-08;9.831e-08	0.0240;0.9760	0.2645;0.7355	s|1e1.1o2|1e2.1o1	2	3	1;0	chr3	-	8640069-8651990;8635857-8651990	8635759-8635857;8639948-8640069;8651990-8652074		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A8652074-8635759
SSUH2	ENSG00000125046.16	ENSG00000125046.16:t:8635759-8635857	0.0007;-0.2057;0.1868	5.465e-21;5.422e-01;3.969e-01	1.678e-02;7.225e-07;1.495e-06	0.0023;0.9682;0.0295	0.0211;0.7518;0.2271	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr3	-	8635857-8677206;8635857-8651990;8635857-8639948	8635759-8635857;8639948-8640069;8651990-8652074;8677206-8677408		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A8677408-8635759
